date,tmax,tmin,tavg
1980-01-01,47.0,42.0,44.0
1980-01-02,46.0,42.0,44.0
1980-01-03,45.0,40.0,43.0
1980-01-04,47.0,40.0,42.0
1980-01-05,45.0,36.0,41.0
1980-01-06,46.0,31.0,38.0
1980-01-07,50.0,36.0,40.0
1980-01-08,51.0,31.0,41.0
1980-01-09,52.0,32.0,40.0
1980-01-10,44.0,40.0,43.0
1980-01-11,45.0,40.0,42.0
1980-01-12,50.0,38.0,44.0
1980-01-13,50.0,41.0,45.0
1980-01-14,53.0,31.0,40.0
1980-01-15,52.0,29.0,38.0
1980-01-16,54.0,40.0,45.0
1980-01-17,50.0,31.0,40.0
1980-01-18,54.0,42.0,47.0
1980-01-19,50.0,42.0,45.0
1980-01-20,48.0,42.0,45.0
1980-01-21,54.0,35.0,44.0
1980-01-22,48.0,39.0,44.0
1980-01-23,49.0,43.0,46.0
1980-01-24,55.0,43.0,47.0
1980-01-25,59.0,38.0,47.0
1980-01-26,50.0,47.0,47.0
1980-01-27,59.0,45.0,49.0
1980-01-28,51.0,46.0,48.0
1980-01-29,47.0,39.0,42.0
1980-01-30,40.0,31.0,35.0
1980-01-31,37.0,25.0,31.0
1980-02-01,40.0,28.0,34.0
1980-02-02,41.0,30.0,35.0
1980-02-03,41.0,34.0,37.0
1980-02-04,39.0,32.0,35.0
1980-02-05,35.0,30.0,32.0
1980-02-06,34.0,29.0,32.0
1980-02-07,37.0,32.0,34.0
1980-02-08,39.0,32.0,35.0
1980-02-09,37.0,33.0,35.0
1980-02-10,48.0,27.0,36.0
1980-02-11,47.0,30.0,38.0
1980-02-12,44.0,35.0,38.0
1980-02-13,49.0,35.0,41.0
1980-02-14,45.0,40.0,42.0
1980-02-15,46.0,39.0,41.0
1980-02-16,44.0,41.0,42.0
1980-02-17,46.0,40.0,42.0
1980-02-18,56.0,33.0,43.0
1980-02-19,50.0,44.0,46.0
1980-02-20,58.0,42.0,49.0
1980-02-21,54.0,47.0,49.0
1980-02-22,58.0,46.0,50.0
1980-02-23,58.0,39.0,49.0
1980-02-24,56.0,48.0,51.0
1980-02-25,53.0,47.0,50.0
1980-02-26,57.0,45.0,49.0
1980-02-27,60.0,36.0,48.0
1980-02-28,58.0,47.0,51.0
1980-02-29,67.0,46.0,55.0
1980-03-01,62.0,51.0,55.0
1980-03-02,54.0,49.0,50.0
1980-03-03,50.0,45.0,47.0
1980-03-04,54.0,40.0,47.0
1980-03-05,49.0,45.0,46.0
