date,tmax,tmin,tavg
1992-08-01,89.0,80.0,84.0
1992-08-02,87.0,80.0,84.0
1992-08-03,90.0,81.0,85.0
1992-08-04,89.0,81.0,85.0
1992-08-05,89.0,82.0,85.0
1992-08-06,89.0,82.0,85.0
1992-08-07,91.0,82.0,86.0
1992-08-09,88.0,78.0,84.0
1992-08-11,89.0,79.0,83.0
1992-08-13,90.0,79.0,84.0
1992-08-14,89.0,80.0,84.0
1992-08-16,87.0,79.0,84.0
1992-08-18,89.0,79.0,84.0
1992-08-19,89.0,82.0,85.0
1992-08-21,81.0,77.0,80.0
1992-08-22,85.0,78.0,81.0
1992-08-23,88.0,79.0,82.0
1992-08-24,87.0,79.0,81.0
1992-08-25,91.0,79.0,85.0
1992-08-27,90.0,80.0,84.0
1992-08-28,91.0,80.0,86.0
1992-08-29,94.0,79.0,90.0
1992-09-02,92.0,83.0,87.0
1992-09-03,93.0,83.0,88.0
1992-09-04,92.0,84.0,88.0
1992-09-06,81.0,76.0,79.0
1992-09-07,81.0,77.0,80.0
1992-09-08,89.0,78.0,82.0
1992-09-09,90.0,80.0,84.0
1992-09-11,89.0,77.0,83.0
1992-09-12,89.0,80.0,84.0
1992-09-13,90.0,80.0,84.0
1992-09-14,90.0,80.0,84.0
1992-09-15,91.0,81.0,85.0
1992-09-17,89.0,78.0,83.0
1992-09-18,86.0,80.0,82.0
1992-09-19,85.0,78.0,81.0
1992-09-20,88.0,77.0,83.0
1992-09-21,92.0,80.0,86.0
1992-09-22,91.0,81.0,85.0
1992-09-23,88.0,79.0,84.0
1992-09-24,92.0,80.0,84.0
1992-09-25,94.0,80.0,85.0
1992-09-27,84.0,75.0,79.0
1992-09-28,88.0,75.0,80.0
1992-09-29,86.0,76.0,79.0
1992-10-01,87.0,77.0,80.0
1992-10-03,90.0,76.0,83.0
1992-10-06,82.0,71.0,77.0
1992-10-07,83.0,73.0,78.0
1992-10-08,86.0,73.0,79.0
1992-10-09,85.0,74.0,77.0
1992-10-10,85.0,72.0,78.0
1992-10-12,84.0,72.0,76.0
1992-10-14,79.0,69.0,74.0
1992-10-15,81.0,70.0,75.0
1992-10-16,82.0,70.0,75.0
1992-10-17,81.0,69.0,75.0
1992-10-18,82.0,70.0,74.0
1992-10-19,82.0,69.0,74.0
1992-10-20,82.0,68.0,74.0
1992-10-21,81.0,68.0,74.0
1992-10-22,82.0,68.0,74.0
1992-10-24,81.0,68.0,73.0
1992-10-26,81.0,66.0,72.0
1992-10-27,82.0,67.0,73.0
1992-10-28,84.0,68.0,74.0
1992-10-30,87.0,69.0,76.0
1992-11-01,83.0,68.0,74.0
1992-11-03,81.0,66.0,72.0
1992-11-04,84.0,67.0,74.0
1992-11-05,84.0,70.0,74.0
1992-11-06,80.0,70.0,73.0
1992-11-10,68.0,54.0,61.0
1992-11-11,72.0,56.0,63.0
1992-11-12,78.0,60.0,67.0
1992-11-13,81.0,62.0,71.0
1992-11-15,75.0,65.0,70.0
1992-11-17,79.0,66.0,71.0
1992-11-18,80.0,68.0,72.0
1992-11-19,84.0,69.0,74.0
1992-11-21,69.0,56.0,63.0
1992-11-22,74.0,61.0,67.0
1992-11-24,80.0,63.0,69.0
1992-11-25,79.0,63.0,72.0
1992-11-27,73.0,60.0,64.0
1992-11-28,73.0,58.0,64.0
1992-11-29,75.0,60.0,67.0
1992-11-30,78.0,61.0,67.0
1992-12-01,77.0,62.0,68.0
1992-12-04,73.0,62.0,67.0
1992-12-05,79.0,64.0,70.0
1992-12-06,78.0,66.0,71.0
1992-12-07,79.0,67.0,73.0
1992-12-09,80.0,66.0,70.0
1992-12-10,81.0,66.0,71.0
1992-12-12,75.0,64.0,68.0
1992-12-13,71.0,65.0,67.0
1992-12-16,70.0,51.0,60.0
1992-12-17,73.0,57.0,64.0
1992-12-18,75.0,60.0,67.0
1992-12-19,79.0,63.0,69.0
1992-12-20,77.0,65.0,70.0
1992-12-21,84.0,66.0,72.0
1992-12-22,76.0,65.0,68.0
1992-12-24,61.0,54.0,59.0
1992-12-25,63.0,59.0,62.0
1992-12-27,74.0,64.0,68.0
1992-12-28,78.0,66.0,69.0
1993-01-01,71.0,58.0,63.0
1993-01-02,73.0,58.0,65.0
1993-01-03,72.0,61.0,65.0
1993-01-04,76.0,62.0,67.0
1993-01-06,70.0,62.0,66.0
1993-01-07,72.0,65.0,68.0
1993-01-09,77.0,63.0,68.0
1993-01-10,80.0,63.0,72.0
1993-01-12,72.0,63.0,66.0
1993-01-16,53.0,41.0,47.0
1993-01-19,53.0,45.0,50.0
1993-01-21,52.0,47.0,50.0
1993-01-24,57.0,44.0,51.0
1993-01-25,62.0,45.0,54.0
1993-01-26,63.0,49.0,56.0
1993-01-28,60.0,46.0,51.0
1993-01-29,64.0,46.0,56.0
1993-01-30,69.0,51.0,58.0
1993-01-31,69.0,52.0,60.0
1993-02-02,65.0,53.0,58.0
1993-02-03,71.0,54.0,62.0
1993-02-04,76.0,56.0,65.0
1993-02-08,68.0,59.0,63.0
1993-02-11,71.0,60.0,66.0
1993-02-13,71.0,57.0,63.0
1993-02-14,70.0,60.0,65.0
1993-02-15,74.0,62.0,67.0
1993-02-17,73.0,62.0,67.0
1993-02-18,67.0,63.0,65.0
1993-02-20,75.0,64.0,68.0
1993-02-21,75.0,66.0,70.0
1993-02-23,62.0,58.0,59.0
1993-02-24,67.0,58.0,61.0
1993-02-26,66.0,58.0,62.0
1993-02-27,70.0,62.0,66.0
1993-03-01,62.0,55.0,58.0
1993-03-02,64.0,56.0,60.0
1993-03-04,71.0,58.0,63.0
1993-03-05,70.0,62.0,65.0
1993-03-06,79.0,64.0,71.0
1993-03-08,69.0,62.0,64.0
1993-03-09,71.0,62.0,66.0
1993-03-10,73.0,63.0,66.0
1993-03-11,75.0,62.0,69.0
1993-03-13,67.0,62.0,64.0
1993-03-14,77.0,63.0,72.0
1993-03-15,82.0,69.0,75.0
1993-03-19,59.0,52.0,55.0
1993-03-20,59.0,54.0,57.0
1993-03-21,66.0,56.0,62.0
1993-03-22,69.0,62.0,66.0
1993-03-23,72.0,65.0,69.0
1993-03-24,81.0,67.0,75.0
1993-03-26,82.0,72.0,76.0
1993-03-27,81.0,74.0,77.0
1993-03-30,66.0,60.0,64.0
1993-03-31,71.0,63.0,67.0
1993-04-01,80.0,66.0,74.0
1993-04-02,79.0,72.0,76.0
1993-04-03,83.0,72.0,77.0
1993-04-08,64.0,57.0,61.0
1993-04-09,65.0,58.0,62.0
1993-04-10,71.0,62.0,66.0
1993-04-13,73.0,62.0,67.0
1993-04-14,76.0,64.0,69.0
1993-04-15,77.0,67.0,70.0
1993-04-16,80.0,68.0,74.0
1993-04-18,71.0,65.0,68.0
1993-04-19,73.0,67.0,70.0
1993-04-20,78.0,69.0,71.0
1993-04-22,81.0,69.0,76.0
1993-04-23,82.0,73.0,78.0
1993-04-24,84.0,76.0,80.0
1993-04-26,74.0,65.0,69.0
1993-04-27,80.0,68.0,76.0
1993-04-28,85.0,76.0,79.0
1993-04-30,79.0,68.0,75.0
1993-05-04,74.0,69.0,70.0
1993-05-05,77.0,69.0,74.0
1993-05-06,86.0,73.0,81.0
1993-05-07,86.0,77.0,81.0
1993-05-08,87.0,78.0,82.0
1993-05-10,82.0,71.0,77.0
1993-05-11,81.0,73.0,76.0
1993-05-13,87.0,77.0,82.0
1993-05-16,82.0,75.0,78.0
1993-05-17,86.0,76.0,80.0
1993-05-18,86.0,76.0,80.0
1993-05-19,87.0,77.0,81.0
1993-05-20,87.0,77.0,82.0
1993-05-21,89.0,79.0,83.0
1993-05-24,81.0,74.0,76.0
1993-05-25,79.0,74.0,77.0
1993-05-26,80.0,76.0,77.0
1993-05-27,85.0,76.0,81.0
1993-05-29,83.0,73.0,78.0
1993-05-30,85.0,74.0,81.0
1993-05-31,87.0,78.0,84.0
1993-06-04,85.0,62.0,82.0
1993-06-07,87.0,76.0,83.0
1993-06-10,79.0,76.0,78.0
1993-06-12,88.0,79.0,85.0
1993-06-13,88.0,80.0,84.0
1993-06-14,89.0,83.0,85.0
1993-06-17,84.0,76.0,83.0
1993-06-19,88.0,80.0,83.0
1993-06-21,89.0,80.0,84.0
1993-06-22,90.0,80.0,84.0
1993-06-23,88.0,80.0,84.0
1993-06-24,88.0,78.0,83.0
1993-06-26,89.0,78.0,86.0
1993-06-29,87.0,75.0,83.0
1993-06-30,87.0,81.0,83.0
1993-07-02,87.0,80.0,83.0
1993-07-03,88.0,81.0,84.0
1993-07-05,89.0,82.0,84.0
1993-07-06,90.0,81.0,84.0
1993-07-07,88.0,81.0,84.0
1993-07-09,90.0,80.0,85.0
1993-07-10,91.0,72.0,84.0
1993-07-11,88.0,76.0,82.0
1993-07-12,87.0,76.0,81.0
1993-07-14,89.0,74.0,83.0
1993-07-15,89.0,79.0,84.0
1993-07-16,90.0,81.0,85.0
1993-07-17,89.0,81.0,85.0
1993-07-18,89.0,82.0,85.0
1993-07-19,89.0,83.0,85.0
1993-07-22,89.0,75.0,84.0
1993-07-23,89.0,81.0,85.0
1993-07-24,89.0,81.0,85.0
1993-07-25,90.0,82.0,85.0
1993-07-26,89.0,82.0,85.0
1993-07-27,90.0,82.0,85.0
1993-07-28,90.0,69.0,86.0
1993-07-29,91.0,77.0,86.0
1993-08-01,87.0,78.0,82.0
1993-08-03,90.0,77.0,84.0
1993-08-04,89.0,81.0,84.0
1993-08-05,90.0,81.0,85.0
1993-08-06,90.0,81.0,85.0
1993-08-07,89.0,73.0,85.0
1993-08-08,89.0,78.0,85.0
1993-08-11,91.0,80.0,84.0
1993-08-12,89.0,80.0,83.0
1993-08-13,84.0,78.0,81.0
1993-08-14,88.0,79.0,83.0
1993-08-16,88.0,77.0,81.0
1993-08-17,85.0,77.0,80.0
1993-08-18,89.0,78.0,84.0
1993-08-20,81.0,77.0,79.0
1993-08-21,83.0,77.0,80.0
1993-08-22,86.0,78.0,81.0
1993-08-24,86.0,77.0,82.0
1993-08-25,91.0,79.0,84.0
1993-08-26,90.0,79.0,83.0
1993-08-27,91.0,80.0,84.0
1993-08-29,88.0,69.0,83.0
1993-08-31,87.0,78.0,81.0
1993-09-01,86.0,78.0,82.0
1993-09-02,87.0,78.0,83.0
1993-09-03,90.0,79.0,84.0
1993-09-04,88.0,79.0,83.0
1993-09-08,87.0,78.0,81.0
1993-09-11,88.0,77.0,82.0
1993-09-12,87.0,78.0,83.0
1993-09-14,88.0,77.0,82.0
1993-09-15,89.0,77.0,82.0
1993-09-18,85.0,76.0,80.0
1993-09-20,89.0,78.0,83.0
1993-09-21,91.0,78.0,83.0
1993-09-22,89.0,79.0,82.0
1993-09-24,77.0,61.0,76.0
1993-09-25,74.0,53.0,73.0
1993-09-27,84.0,75.0,79.0
1993-09-28,84.0,77.0,80.0
1993-09-29,85.0,77.0,81.0
1993-10-01,83.0,72.0,77.0
1993-10-02,78.0,73.0,75.0
1993-10-04,85.0,72.0,78.0
1993-10-05,84.0,75.0,79.0
1993-10-08,84.0,70.0,76.0
1993-10-09,84.0,72.0,77.0
1993-10-10,84.0,71.0,76.0
1993-10-11,83.0,72.0,77.0
1993-10-14,83.0,72.0,78.0
1993-10-15,83.0,75.0,78.0
1993-10-16,85.0,75.0,78.0
1993-10-19,81.0,71.0,74.0
1993-10-20,83.0,70.0,75.0
1993-10-21,83.0,72.0,76.0
1993-10-23,85.0,71.0,76.0
1993-10-24,81.0,72.0,75.0
1993-10-25,78.0,72.0,74.0
1993-10-26,83.0,72.0,76.0
1993-10-28,82.0,73.0,76.0
1993-10-31,74.0,61.0,67.0
1993-11-01,76.0,62.0,69.0
1993-11-02,78.0,64.0,72.0
1993-11-03,76.0,65.0,72.0
1993-11-04,73.0,60.0,72.0
1993-11-05,76.0,72.0,74.0
1993-11-07,86.0,73.0,77.0
1993-11-13,79.0,67.0,71.0
1993-11-14,80.0,68.0,72.0
1993-11-15,80.0,69.0,73.0
1993-11-16,80.0,71.0,74.0
1993-11-17,82.0,71.0,75.0
1993-11-18,78.0,69.0,73.0
1993-11-19,73.0,69.0,72.0
1993-11-22,66.0,51.0,62.0
1993-11-26,68.0,59.0,65.0
1993-11-27,74.0,62.0,67.0
1993-11-28,70.0,65.0,67.0
1993-11-29,76.0,64.0,70.0
1993-12-01,76.0,68.0,70.0
1993-12-02,76.0,69.0,70.0
1993-12-05,67.0,57.0,61.0
1993-12-06,69.0,56.0,62.0
1993-12-07,72.0,56.0,64.0
1993-12-08,71.0,59.0,65.0
1993-12-09,78.0,65.0,71.0
1993-12-11,71.0,63.0,66.0
1993-12-12,67.0,63.0,65.0
1993-12-15,56.0,51.0,54.0
1993-12-17,58.0,47.0,53.0
1993-12-18,58.0,50.0,55.0
1993-12-19,67.0,53.0,60.0
1993-12-22,63.0,49.0,55.0
1993-12-23,66.0,49.0,58.0
1993-12-24,69.0,53.0,61.0
1993-12-26,73.0,54.0,62.0
1993-12-27,70.0,55.0,61.0
1993-12-28,69.0,55.0,60.0
1993-12-29,72.0,56.0,64.0
1993-12-30,76.0,61.0,67.0
1994-01-01,67.0,57.0,60.0
1994-01-02,70.0,58.0,64.0
1994-01-03,77.0,61.0,67.0
1994-01-05,73.0,62.0,66.0
1994-01-06,81.0,61.0,68.0
1994-01-09,76.0,62.0,67.0
1994-01-12,72.0,61.0,64.0
1994-01-15,61.0,53.0,60.0
1994-01-17,79.0,64.0,71.0
1994-01-19,59.0,55.0,57.0
1994-01-21,59.0,45.0,51.0
1994-01-23,65.0,48.0,57.0
1994-01-24,66.0,53.0,58.0
1994-01-25,71.0,53.0,60.0
1994-01-28,72.0,55.0,62.0
1994-01-30,61.0,57.0,59.0
1994-01-31,75.0,58.0,67.0
1994-02-03,66.0,58.0,61.0
1994-02-04,68.0,60.0,65.0
1994-02-05,76.0,64.0,69.0
1994-02-08,75.0,62.0,68.0
1994-02-11,73.0,59.0,69.0
1994-02-13,59.0,57.0,58.0
1994-02-14,71.0,58.0,65.0
1994-02-20,69.0,56.0,61.0
1994-02-21,70.0,55.0,63.0
1994-02-22,65.0,60.0,62.0
1994-02-23,70.0,62.0,68.0
1994-02-25,57.0,54.0,56.0
1994-03-01,59.0,51.0,55.0
