date,tmax,tmin,tavg
1980-01-01,43.0,14.0,27.0
1980-01-02,45.0,15.0,28.0
1980-01-03,42.0,15.0,30.0
1980-01-04,43.0,12.0,25.0
1980-01-05,41.0,11.0,24.0
1980-01-06,39.0,12.0,22.0
1980-01-07,34.0,14.0,22.0
1980-01-08,35.0,9.0,20.0
1980-01-09,43.0,12.0,26.0
1980-01-10,46.0,16.0,28.0
1980-01-11,45.0,12.0,28.0
1980-01-12,48.0,12.0,26.0
1980-01-13,49.0,13.0,28.0
1980-01-14,41.0,19.0,29.0
1980-01-15,41.0,13.0,26.0
1980-01-16,41.0,13.0,24.0
1980-01-17,44.0,13.0,27.0
1980-01-18,47.0,13.0,29.0
1980-01-19,46.0,16.0,28.0
1980-01-20,44.0,16.0,31.0
1980-01-21,44.0,13.0,27.0
1980-01-22,46.0,15.0,33.0
1980-01-23,41.0,16.0,29.0
1980-01-24,35.0,23.0,28.0
1980-01-25,41.0,9.0,21.0
1980-01-26,45.0,10.0,26.0
1980-01-27,47.0,15.0,29.0
1980-01-28,48.0,15.0,31.0
1980-01-29,49.0,19.0,35.0
1980-01-30,44.0,20.0,27.0
1980-01-31,41.0,9.0,23.0
1980-02-01,48.0,13.0,30.0
1980-02-02,51.0,15.0,29.0
1980-02-03,51.0,16.0,32.0
1980-02-04,50.0,23.0,37.0
1980-02-05,47.0,28.0,39.0
1980-02-06,44.0,24.0,35.0
1980-02-07,43.0,17.0,32.0
1980-02-08,45.0,19.0,34.0
1980-02-09,49.0,15.0,33.0
1980-02-10,45.0,25.0,35.0
1980-02-11,43.0,17.0,31.0
1980-02-12,47.0,25.0,35.0
1980-02-13,53.0,12.0,30.0
1980-02-14,49.0,23.0,36.0
1980-02-15,42.0,23.0,33.0
1980-02-16,44.0,24.0,33.0
1980-02-17,44.0,21.0,33.0
1980-02-18,42.0,22.0,32.0
1980-02-19,47.0,24.0,34.0
1980-02-20,47.0,19.0,33.0
1980-02-21,47.0,23.0,36.0
1980-02-22,49.0,24.0,37.0
1980-02-23,48.0,25.0,37.0
1980-02-24,48.0,29.0,37.0
1980-02-25,45.0,20.0,33.0
1980-02-26,49.0,15.0,32.0
1980-02-27,55.0,18.0,34.0
1980-02-28,50.0,22.0,38.0
1980-02-29,48.0,21.0,37.0
1980-03-01,47.0,28.0,39.0
1980-03-02,43.0,25.0,31.0
1980-03-03,38.0,14.0,27.0
1980-03-04,49.0,19.0,31.0
1980-03-05,51.0,25.0,37.0
1980-03-06,57.0,21.0,39.0
1980-03-07,55.0,30.0,44.0
1980-03-08,57.0,27.0,41.0
1980-03-09,52.0,36.0,43.0
1980-03-10,49.0,23.0,37.0
1980-03-11,51.0,22.0,40.0
1980-03-12,53.0,30.0,42.0
1980-03-13,48.0,28.0,39.0
1980-03-14,51.0,20.0,37.0
1980-03-15,49.0,28.0,40.0
1980-03-16,47.0,21.0,34.0
1980-03-17,42.0,27.0,33.0
1980-03-18,49.0,26.0,36.0
1980-03-19,51.0,26.0,38.0
1980-03-20,53.0,30.0,41.0
1980-03-21,61.0,24.0,41.0
1980-03-22,56.0,30.0,42.0
1980-03-23,53.0,30.0,41.0
1980-03-24,58.0,29.0,42.0
1980-03-25,58.0,33.0,47.0
1980-03-26,58.0,28.0,44.0
1980-03-27,58.0,33.0,46.0
1980-03-28,61.0,24.0,42.0
1980-03-29,59.0,40.0,51.0
1980-03-30,58.0,29.0,49.0
1980-03-31,54.0,31.0,42.0
1980-04-01,57.0,30.0,44.0
1980-04-02,63.0,28.0,45.0
1980-04-03,59.0,35.0,48.0
1980-04-04,53.0,36.0,44.0
1980-04-05,54.0,24.0,39.0
1980-04-06,58.0,27.0,42.0
1980-04-07,62.0,29.0,44.0
1980-04-08,58.0,31.0,46.0
1980-04-09,58.0,34.0,44.0
1980-04-10,53.0,32.0,42.0
1980-04-11,56.0,33.0,44.0
1980-04-12,60.0,36.0,49.0
1980-04-13,56.0,37.0,47.0
1980-04-14,62.0,36.0,49.0
1980-04-15,62.0,38.0,50.0
1980-04-16,64.0,33.0,50.0
1980-04-17,60.0,44.0,48.0
1980-04-18,58.0,31.0,45.0
1980-04-19,61.0,34.0,47.0
1980-04-20,67.0,33.0,49.0
1980-04-21,71.0,34.0,52.0
1980-04-22,69.0,40.0,55.0
1980-04-23,69.0,36.0,54.0
1980-04-24,63.0,36.0,51.0
1980-04-25,66.0,35.0,50.0
1980-04-26,68.0,34.0,52.0
1980-04-27,69.0,41.0,55.0
1980-04-28,64.0,42.0,53.0
1980-04-29,64.0,40.0,51.0
1980-04-30,58.0,39.0,46.0
1980-05-01,60.0,38.0,49.0
1980-05-02,67.0,34.0,48.0
1980-05-03,69.0,36.0,53.0
1980-05-04,66.0,38.0,50.0
1980-05-05,67.0,41.0,49.0
1980-05-06,60.0,38.0,49.0
1980-05-07,62.0,34.0,48.0
1980-05-08,65.0,35.0,51.0
1980-05-09,64.0,39.0,54.0
1980-05-10,68.0,37.0,54.0
1980-05-11,66.0,42.0,52.0
1980-05-12,63.0,39.0,51.0
1980-05-13,65.0,39.0,51.0
1980-05-14,69.0,38.0,54.0
1980-05-15,65.0,49.0,55.0
1980-05-16,64.0,42.0,50.0
1980-05-17,63.0,44.0,51.0
1980-05-18,61.0,41.0,49.0
1980-05-19,62.0,38.0,44.0
1980-05-20,61.0,41.0,51.0
1980-05-21,65.0,43.0,51.0
1980-05-22,66.0,44.0,54.0
1980-05-23,71.0,40.0,55.0
1980-05-24,69.0,47.0,55.0
1980-05-25,58.0,41.0,48.0
1980-05-26,57.0,42.0,47.0
1980-05-27,58.0,43.0,49.0
1980-05-28,58.0,42.0,49.0
1980-05-29,56.0,39.0,45.0
1980-05-30,59.0,37.0,48.0
1980-05-31,64.0,37.0,49.0
1980-06-01,61.0,42.0,53.0
1980-06-02,65.0,42.0,52.0
1980-06-03,73.0,48.0,60.0
1980-06-04,75.0,51.0,63.0
1980-06-05,75.0,48.0,60.0
1980-06-06,75.0,49.0,61.0
1980-06-07,70.0,43.0,54.0
1980-06-08,71.0,49.0,59.0
1980-06-09,68.0,53.0,61.0
1980-06-10,71.0,52.0,58.0
1980-06-11,69.0,48.0,58.0
1980-06-12,73.0,45.0,60.0
1980-06-13,76.0,53.0,64.0
1980-06-14,78.0,56.0,66.0
1980-06-15,74.0,55.0,62.0
1980-06-16,72.0,49.0,61.0
1980-06-17,76.0,45.0,63.0
1980-06-18,72.0,50.0,62.0
1980-06-19,64.0,45.0,51.0
1980-06-20,56.0,47.0,50.0
1980-06-21,66.0,49.0,55.0
1980-06-22,71.0,46.0,57.0
1980-06-23,70.0,44.0,57.0
1980-06-24,73.0,48.0,61.0
1980-06-25,76.0,47.0,62.0
1980-06-26,77.0,48.0,62.0
1980-06-27,77.0,56.0,67.0
1980-06-28,78.0,57.0,67.0
1980-06-29,74.0,56.0,63.0
1980-06-30,74.0,50.0,61.0
1980-07-01,71.0,53.0,63.0
1980-07-02,76.0,52.0,63.0
1980-07-03,79.0,57.0,67.0
1980-07-04,77.0,54.0,60.0
1980-07-05,73.0,52.0,61.0
1980-07-06,75.0,53.0,62.0
1980-07-07,78.0,53.0,64.0
1980-07-08,74.0,55.0,64.0
1980-07-09,77.0,52.0,63.0
1980-07-10,72.0,49.0,58.0
