date,tmax,tmin,tavg
1980/1/1,35,17,26
1980/1/2,33,22,27
1980/1/3,30,21,25
1980/1/4,32,18,23
1980/1/5,32,12,20
1980/1/6,29,18,23
1980/1/7,31,8,18
1980/1/8,37,11,22
1980/1/9,38,9,20
1980/1/10,34,11,22
1980/1/11,29,11,19
1980/1/12,34,12,22
1980/1/13,33,8,18
1980/1/14,36,8,19
1980/1/15,36,9,19
1980/1/16,41,10,21
1980/1/17,32,10,19
1980/1/18,35,11,21
1980/1/19,36,10,21
1980/1/20,40,10,22
1980/1/21,40,11,22
1980/1/22,36,10,21
1980/1/23,42,13,24
1980/1/24,37,13,22
1980/1/25,34,12,23
1980/1/26,35,17,26
1980/1/27,36,26,30
1980/1/28,31,22,24
1980/1/29,23,11,14
1980/1/30,20,3,10
1980/1/31,21,8,14
1980/2/1,21,12,15
1980/2/2,28,9,18
1980/2/3,24,8,13
1980/2/4,19,1,9
1980/2/5,25,2,12
1980/2/6,29,12,20
1980/2/7,28,10,18
1980/2/8,34,13,22
1980/2/9,36,17,24
1980/2/10,37,17,26
1980/2/11,37,18,26
1980/2/12,38,15,26
1980/2/13,34,15,24
1980/2/14,42,13,26
1980/2/15,46,17,30
1980/2/16,47,20,32
1980/2/17,45,31,37
1980/2/18,54,19,33
1980/2/19,43,28,31
1980/2/20,42,19,30
1980/2/21,50,24,35
1980/2/22,53,26,38
1980/2/23,58,26,40
1980/2/24,51,35,38
1980/2/25,43,31,36
1980/2/26,40,30,34
1980/2/27,50,24,34
1980/2/28,49,27,37
1980/2/29,45,31,36
1980/3/1,51,28,38
1980/3/2,46,30,37
1980/3/3,49,31,39
1980/3/4,55,27,39
1980/3/5,53,26,39
1980/3/6,58,27,41
1980/3/7,50,35,41
1980/3/8,51,37,43
1980/3/9,55,31,42
1980/3/10,51,42,45
1980/3/11,43,32,36
1980/3/12,38,31,33
1980/3/13,36,27,30
1980/3/14,47,25,35
1980/3/15,55,32,42
1980/3/16,55,32,44
1980/3/17,63,38,47
1980/3/18,65,32,48
1980/3/19,58,39,41
1980/3/20,56,30,42
1980/3/21,53,34,42
1980/3/22,50,30,39
1980/3/23,49,33,39
1980/3/24,55,33,42
1980/3/25,53,38,44
1980/3/26,59,32,45
1980/3/27,54,35,45
1980/3/28,72,38,54
1980/3/29,67,40,44
1980/3/30,44,29,35
